total_changes,churn_ratio,avg_changes_per_file,additions,deletions,changed_files,commits_per_file,review_intensity,commits,has_reviewer,solo_pr,many_reviewers,num_reviewers,review_hours,fast_merge,day_of_week,is_weekend,keyword_count,diff_lines,has_test_file,has_config_file,num_python_files,num_js_files,title_length,comments,review_comments
202.0,0.6916666666666667,67.33333333333333,119.0,83.0,2.0,0.3333333333333333,1.0,1,1,0,0,2,2.185277777777778,0,2,0,1,50,0,0,0,0,47,0,2
81.0,0.43859649122807015,7.363636363636363,56.0,25.0,10.0,0.2727272727272727,0.5,3,1,0,0,2,0.8694444444444445,1,2,0,1,56,1,0,0,10,46,0,2
39.0,0.6,7.8,24.0,15.0,4.0,0.4,0.3333333333333333,2,1,0,1,3,0.6191666666666666,1,2,0,2,50,1,0,0,4,60,0,1
42.0,0.075,14.0,39.0,3.0,2.0,0.6666666666666666,0.6666666666666666,2,1,0,1,3,0.40555555555555556,1,5,1,2,60,1,0,0,2,61,0,2
15.0,0.0,5.0,15.0,0.0,2.0,0.3333333333333333,0.5,1,1,0,0,2,4.561944444444444,0,5,1,2,22,0,0,0,0,67,0,1
96.0,0.49230769230769234,48.0,64.0,32.0,1.0,1.0,0.0,2,1,0,0,2,1.7033333333333334,1,5,1,2,88,0,0,0,1,54,1,0
566.0,0.46511627906976744,47.166666666666664,386.0,180.0,11.0,0.5833333333333334,0.25,7,1,0,1,4,52.43611111111111,0,3,0,2,41,1,0,0,8,51,1,2
13.0,0.5555555555555556,4.333333333333333,8.0,5.0,2.0,0.6666666666666666,0.0,2,1,0,0,2,2.960277777777778,0,5,1,3,33,0,0,0,2,63,0,0
144.0,0.16,18.0,124.0,20.0,7.0,0.25,0.0,2,1,0,0,2,3.055833333333333,0,5,1,0,36,1,0,0,7,66,0,0
2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1,1,0,0,2,2.026111111111111,0,5,1,2,9,0,1,0,0,38,0,0
36.0,0.08823529411764706,7.2,33.0,3.0,4.0,2.0,0.5454545454545454,10,1,0,1,3,11.641666666666667,0,4,0,3,65,1,1,0,1,63,1,6
5.0,0.2,2.5,4.0,1.0,1.0,1.5,0.0,3,1,0,0,2,10.300277777777778,0,4,0,3,16,0,0,0,0,57,1,0
4.0,0.25,2.0,3.0,1.0,1.0,2.0,0.2,4,1,0,0,2,18.121388888888887,0,4,0,2,11,0,0,0,1,58,0,1
27.0,0.037037037037037035,5.4,26.0,1.0,4.0,0.4,0.3333333333333333,2,1,0,0,2,5.223055555555556,0,4,0,0,45,0,1,0,4,41,0,1
280.0,0.05639097744360902,35.0,265.0,15.0,7.0,0.125,1.0,1,1,0,0,2,6.012777777777778,0,4,0,0,41,1,0,0,7,62,0,2
102.0,0.15730337078651685,17.0,88.0,14.0,5.0,0.16666666666666666,0.5,1,1,0,0,2,6.110555555555556,0,4,0,1,75,1,0,0,5,41,0,1
2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1,1,0,1,3,12.729722222222222,0,4,0,0,9,0,1,0,1,27,0,0
41.0,0.68,10.25,24.0,17.0,3.0,0.5,1.0,2,1,0,0,2,9.393888888888888,0,4,0,0,24,0,0,0,3,60,7,3
2.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1,1,0,1,4,1.9366666666666668,1,4,0,0,9,0,0,0,1,53,1,2
78.0,0.01282051282051282,26.0,77.0,1.0,2.0,4.0,0.5384615384615384,12,1,0,1,4,96.64444444444445,0,1,0,0,75,1,0,0,2,42,0,7
100.0,0.08602150537634409,25.0,92.0,8.0,3.0,0.5,0.6666666666666666,2,1,0,0,2,1.8872222222222221,1,4,0,2,59,0,0,0,3,69,1,2
20.0,2.5,3.3333333333333335,5.0,15.0,5.0,3.1666666666666665,0.9,19,1,0,1,5,20.849166666666665,0,4,0,1,31,0,0,0,4,92,6,18
140.0,0.9859154929577465,70.0,70.0,70.0,1.0,1.0,0.0,2,1,0,0,2,3.7316666666666665,0,4,0,1,61,0,1,0,0,33,1,0
52.0,0.0392156862745098,4.333333333333333,50.0,2.0,11.0,1.9166666666666667,0.2916666666666667,23,1,0,1,5,157.34444444444443,0,2,0,1,59,0,0,0,11,25,3,7
